ID;StationName;AdmArea;District;Longitude_WGS84;Latitude_WGS84;VestibuleType;NameOfStation;Pass_before_10;Pass_10_16;Pass_after_16;PassTotal
0;авиамоторная;Юго-Восточный административный округ;район Лефортово;37.7164033;55.7515696;подземный;Авиамоторная;16179;17917;41163;75259
1;автозаводская;Южный административный округ;Даниловский район;37.6573197;55.7064354;наземный отдельностоящий;Автозаводская;12368;14215;33270;59853
2;академическая;Юго-Западный административный округ;Академический район;37.5722186;55.6870202;подземный;Академическая;10473;11442;17351;39266
4;алексеевская;Северо-Восточный административный округ;Алексеевский район;37.6385402;55.8079292;наземный отдельностоящий;Алексеевская;7045;9701;21423;38169
5;алма атинская;Южный административный округ;район Братеево;37.7650605;55.6334736;наземный отдельностоящий;Алма-Атинская;8820;3518;3417;15755
6;алтуфьево;Северо-Восточный административный округ;район Лианозово;37.5865234;55.8969868;подземный;Алтуфьево;26025;12058;10894;48977
7;аминьевская;Западный административный округ;район Очаково-Матвеевское;37.46504374;55.69678870;подземный;Аминьевская;5056;2717;5653;13426
8;андроновка;Восточный административный округ;район Перово;37.736613;55.746438;наземный отдельностоящий;Андроновка;4433;1678;3063;9174
9;аннино;Южный административный округ;район Чертаново Южное;37.5971905;55.5835081;подземный;Аннино;12708;7592;7409;27709
10;арбатская;Центральный административный округ;район Арбат;37.603279;55.752386;наземный, встроенный в здание;Арбатская;4335;13975;41819;60129
11;аэропорт;Северный административный округ;Хорошёвский район;37.53066;55.80040;подземный;Аэропорт;7352;12153;24104;43609
12;бабушкинская;Северо-Восточный административный округ;Бабушкинский район;37.663208;55.868448;подземный;Бабушкинская;26582;14136;12984;53702
13;багратионовская;Западный административный округ;район Филёвский Парк;37.497393;55.74366;наземный отдельностоящий;Багратионовская;4160;5090;8140;17390
14;балтийская;Северный административный округ;Войковский район;37.493991;55.825623;наземный отдельностоящий;Балтийская;2787;3531;9366;15684
16;бауманская;Центральный административный округ;Басманный район;37.678778;55.772359;наземный отдельностоящий;Бауманская;5473;18390;42896;66759
17;беговая;Северный административный округ;Хорошёвский район;37.54459;55.7733859;подземный;Беговая;12618;13068;22133;47819
18;белокаменная;Восточный административный округ;район Метрогородок;37.702533;55.829815;наземный отдельностоящий;Белокаменная;422;702;741;1865
19;беломорская;Северный административный округ;район Левобережный;37.475089;55.865217;подземный;Беломорская;16203;8780;7499;32482
20;белорусская;Центральный административный округ;Тверской район;37.5826448;55.7753945;наземный, встроенный в здание;Белорусская;16528;19679;45126;81333
21;беляево;Юго-Западный административный округ;район Коньково;37.525406;55.641896;подземный;Беляево;14751;13518;16061;44330
22;бибирево;Северо-Восточный административный округ;район Бибирево;37.6046466;55.884046;подземный;Бибирево;15595;7648;7578;30821
24;борисово;Южный административный округ;район Братеево;37.7434206;55.6323743;подземный;Борисово;6836;2824;2450;12110
26;боровское шоссе;Западный административный округ;район Ново-Переделкино;37.371789;55.648399;подземный;Боровское шоссе;3310;1442;1398;6150
27;ботанический сад;Северо-Восточный административный округ;район Свиблово;37.638487;55.8459341;подземный;Ботанический сад;20918;16200;29350;66468
28;братиславская;Юго-Восточный административный округ;район Марьино;37.7526435;55.660114;подземный;Братиславская;19093;10328;11188;40609
29;бульвар адмирала ушакова;Юго-Западный административный округ;район Южное Бутово;37.5416454;55.5450107;наземный отдельностоящий;Бульвар адмирала Ушакова;6108;2996;2526;11630
30;бульвар дмитрия донского;Юго-Западный административный округ;район Северное Бутово;37.576311;55.570289;подземный;Бульвар Дмитрия Донского;34794;14750;11433;60977
31;бульвар рокоссовского;Восточный административный округ;район Богородское;37.7321792;55.8149979;подземный;Бульвар Рокоссовского;16374;10141;12794;39309
32;бунинская аллея;Юго-Западный административный округ;район Южное Бутово;37.5149399;55.5376805;наземный отдельностоящий;Бунинская аллея;13084;5196;4178;22458
33;бутырская;Северо-Восточный административный округ;Бутырский район;37.601833;55.814106;подземный;Бутырская;2442;3583;8820;14845
34;вднх;Северо-Восточный административный округ;Останкинский район;37.6386606;55.8242068;подземный;Выставочный центр;20070;22533;30644;73247
35;верхние котлы;Южный административный округ;Донской район;37.618022;55.69013;наземный отдельностоящий;Верхние Котлы;9542;4839;9576;23957
36;верхние лихоборы;Северный административный округ;район Западное Дегунино;37.561126;55.854575;подземный;Верхние Лихоборы;6686;3603;4511;14800
37;владыкино;Северо-Восточный административный округ;район Отрадное;37.5903673;55.8483448;наземный отдельностоящий;Владыкино;22403;15419;26904;64726
38;водный стадион;Северный административный округ;Войковский район;37.487262;55.839091;наземный отдельностоящий;Водный стадион;13175;12838;20135;46148
39;войковская;Северный административный округ;Войковский район;37.4966084;55.8198862;подземный;Войковская;15065;15729;25184;55978
40;волгоградский проспект;Юго-Восточный административный округ;Южнопортовый район;37.685034;55.7256857;подземный;Волгоградский проспект;3567;6169;15115;24851
41;волжская;Юго-Восточный административный округ;район Кузьминки;37.7564272;55.6907047;подземный;Волжская;7856;4887;4786;17529
42;волоколамская;Северо-Западный административный округ;район Митино;37.381439;55.836391;наземный отдельностоящий;Волоколамская;7446;5059;6336;18841
43;воробьевы горы;Западный административный округ;район Раменки;37.557696;55.709398;наземный отдельностоящий;Воробьёвы горы;574;1575;5163;7312
44;воронцовская;Юго-Западный административный округ;Обручевский район;37.54082220;55.65794575;подземный;Воронцовская;8049;11142;29294;48485
45;выставочная;Центральный административный округ;Пресненский район;37.543971;55.748092;подземный;Выставочная;4892;12945;63388;81225
46;выхино;Восточный административный округ;район Вешняки;37.8191351;55.7158154;наземный отдельностоящий;Выхино;35525;18107;16309;69941
47;говорово;Новомосковский административный округ;поселение Московский;37.418770;55.659340;подземный;Говорово;6997;3594;3913;14504
48;давыдково;Западный административный округ;Можайский район;37.45197320;55.71465451;наземный отдельностоящий;Давыдково;3352;2518;6012;11882
50;динамо;Северный административный округ;район Аэропорт;37.556447;55.790523;подземный;Динамо;7892;12784;26922;47598
51;дмитровская;Северный административный округ;Савёловский район;37.580249;55.807873;подземный;Дмитровская;8786;9529;21320;39635
52;добрынинская;Центральный административный округ;район Замоскворечье;37.6227295;55.7290528;наземный отдельностоящий;Добрынинская;4309;14802;32038;51149
53;домодедовская;Южный административный округ;район Орехово-Борисово Северное;37.716543;55.610926;подземный;Домодедовская;31255;18552;18440;68247
54;достоевская;Центральный административный округ;Тверской район;37.6141122;55.7816457;подземный;Достоевская;1457;4139;8694;14290
55;дубровка;Юго-Восточный административный округ;Южнопортовый район;37.6762283;55.7178288;подземный;Дубровка;5924;8065;18012;32001
56;жулебино;Юго-Восточный административный округ;район Выхино-Жулебино;37.8554017;55.6841436;подземный;Жулебино;13510;7486;7173;28169
57;зил;Южный административный округ;Даниловский район;37.648603;55.699421;наземный отдельностоящий;ЗИЛ;1253;2476;6958;10687
58;зорге;Северо-Западный административный округ;район Хорошёво-Мнёвники;37.502520;55.789005;наземный отдельностоящий;Зорге;1451;1384;3551;6386
59;зюзино;Юго-Западный административный округ;район Зюзино;37.57580691;55.65517550;подземный;Зюзино;7604;4425;5414;17443
61;измайлово;Восточный административный округ;район Измайлово;37.746192;55.788479;наземный отдельностоящий;Измайлово;6194;4423;6644;17261
62;измайловская;Восточный административный округ;район Измайлово;37.7798923;55.7877899;подземный;Измайловская;8803;6535;5650;20988
64;кантемировская;Южный административный округ;район Царицыно;37.657120;55.634606;подземный;Кантемировская;17930;10105;10520;38555
65;каховская;Юго-Западный административный округ;район Зюзино;37.60021369;55.65344116;подземный;Каховская;12699;8883;11732;33314
66;каширская;Южный административный округ;Нагорный район;37.61792;55.653075;подземный;Варшавская;7583;8655;15755;31993
67;киевская;Западный административный округ;район Дорогомилово;37.564427;55.742922;наземный, встроенный в здание;Киевская;18936;22401;42666;84003
68;китай город;Центральный административный округ;Басманный район;37.6316766;55.7573154;подземный;Китай-город;4436;13936;42691;61063
69;кожуховская;Юго-Восточный административный округ;Южнопортовый район;37.685432;55.706140;наземный отдельностоящий;Кожуховская;4027;5667;16489;26183
70;коломенская;Южный административный округ;район Нагатино-Садовники;37.6627956;55.676834;подземный;Коломенская;19855;14148;19428;53431
