sep=;
"id";"name";"city_name";"geometry_name";"post_code";"phone";"email";"website";"vkontakte";"instagram";"lon";"lat";"category";"subcategory"
"1";"Жилищник района Ясенево";"Москва";"Айвазовского, 8 к2";"117593";="+74954279766, +74954252600, +74954279411, +74955392525";"";"http://zhilishnikyasenevo.ru";"";"";"37.536595";"55.615664";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги, Мусорные контейнеры"
"2";"Мусорный контейнер";"Москва";"";"129327";="";"";"";"";"";"37.675753";"55.865479";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"3";"Жилищник района Люблино, Центральный офис";"Москва";"Кубанская, 27";"109387";="+74953500145, +74953502760, +74955395353";"";"http://lublino.uvaogbu.ru";"";"";"37.741817";"55.684147";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги, Мусорные контейнеры"
"4";"ГБУ жилищник района Измайлово";"Москва";"";"105037";="";"";"";"";"";"37.782155";"55.789061";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"5";"Жилищник района Ясенево, г. Москва";"Москва";"";"117463";="";"";"";"";"";"37.54327";"55.592845";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"6";"Дигрус, производственная компания";"Фрязино";"Окружной проезд, 9";"141196";="+79152792281, +79295519957, +74950884196, +79261118412";"";"http://digrus.su/";"";"";"38.052922";"55.975004";"Хозтовары / Канцелярия / Упаковка";"Металлическая / жестяная тара, Металлоконструкции для строительства зданий / сооружений, Пластиковая тара, Мусорные контейнеры"
"7";"ТСН Вяземское";"д. Николо-Хованское";"";"108814";="";"";"";"";"";"37.442848";"55.595192";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"8";"Сергиево-Посадский региональный оператор, мусорная площадка";"Москва";"";"";="";"";"http://двабака.рф";"";"";"";"";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"9";"Пункт приема пластика";"Москва";"";"127083";="";"";"";"";"";"37.559042";"55.801378";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры, Пункты приёма"
"10";"Хартия, пункт раздельного сбора отходов";"Москва";"";"107113";="+74997502362, +74997502336, +74997502334";"";"http://www.hartiya.com";"";"";"37.676041";"55.78779";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"11";"Экопрофит, торгово-производственная компания";"Балашиха";"шоссе Энтузиастов, вл1а ст1";"143912";="+74957785313";"";"http://ecoprofit.su";"";"";"37.866775";"55.78422";"Хозтовары / Канцелярия / Упаковка";"Пластиковая тара, Мусорные контейнеры"
"12";"Жилищник района Фил?вский парк, мусорная площадка";"Москва";"";"121087";="+74957902135";"";"";"";"";"37.511353";"55.746155";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"13";"Мусорная площадка, ТСЖ КОТЕЛЬНИЧЕСКАЯ, 31";"Москва";"";"115172";="";"";"";"";"";"37.646393";"55.74109";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"14";"Жилищник Района Бауманский, мусорная площадка";"Москва";"";"105082";="";"";"";"";"";"37.692072";"55.780693";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"15";"Мусорная площадка, ТСЖ Днепропетровская 27 к1";"Москва";"";"117525";="";"";"";"";"";"37.584934";"55.620297";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"16";"ГБУ жилищник района Ховрино";"Москва";"";"125581";="";"";"";"";"";"37.492426";"55.857327";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"17";"Жилищник района Текстильщики, мусорная площадка";"Москва";"";"109518";="+74991784532";"";"";"";"";"37.729338";"55.718223";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"18";"Жилищник района Печатники, мусорная площадка";"Москва";"";"109548";="";"";"";"";"";"37.732129";"55.686779";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"19";"Жилищник района Замоскворечье, мусорная площадка";"Москва";"";"115184";="+74959517653";"";"http://gbu-zamoskvoreche.ru";"";"";"37.630447";"55.740775";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"20";"ГСВМ, мусорная площадка";"Москва";"";"115088";="+74957300406";"";"";"";"";"37.65977";"55.719926";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"21";"Жилищник района Северное Медведково, Мусорная площадка";"Москва";"";"127221";="+74991156395";"";"";"";"";"37.660259";"55.883224";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры, Пункты приёма"
"22";"Жилищник района Новогиреево, Мусорная площадка";"Москва";"";"111394";="+74953030707";"";"";"";"";"37.791696";"55.740582";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"23";"Жилищник Савеловского района, мусорная площадка";"Москва";"";"127287";="";"";"";"";"";"37.570277";"55.798391";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры"
"24";"Мусорные контейнеры, г. Москва";"Москва";"";"";="";"";"";"";"";"";"";"Коммунальные / бытовые / ритуальные услуги";"Мусорные контейнеры, Пункты приёма"
