;index;type;name;geometry_name;lon;lat;geometry;K_distance;distance_to_center;normalize_name;okato;prc_children_1_6;region_average_age;prc_people_higher_education;count_nearest_postamats;count_nearest_postamats_x2;count_nearest_pvz;count_nearest_pvz_x2;count_nearest_pvz_shop;count_nearest_pvz_shop_x2;count_competitor_pvz_postamat;count_competitor_pvz_postamat_x2;food_delivery;food_delivery_x2;velo_parking;velo_parking_x2;digitalization;digitalization_without_postamat_normal;digitalization_without_postamat;covering_postamats;count_nearest_metro;count_nearest_metro_x2;count_nearest_ngpt;count_nearest_ngpt_x2;count_nearest_auto_parking;count_nearest_auto_parking_x2;transportization_norm;transportization;level_working_region;level_sleeping_region;level_sleep_work_region;count_houses;count_house_flat;population_house_flat;population_house_square;population_house_living_square;count_houses_x2;count_house_flat_x2;population_house_flat_x2;population_house_square_x2;population_house_living_square_x2;okrug;region_population;average_salary;average_employees;prc_employees_small_businesses;count_small_enterprises;investments;price_metr_housing;cost_apartment;rating_ecology;entertainment_infrastructure;house_infrastructure_rating;prc_xenophobic;area_per_human_region;population_density_region;population_region;death_rate;total_fertility_rate;prc_children_5_18;migration_population_growth;natural_population_growth;budget_expenditures;budget_revenues
387;234;Hexagon_7;8711aa783ffffff;8611aa787ffffff;37.63871985958616;55.703192169376926;POLYGON ((37.619429684477545 55.697873720533565, 37.6361357800026 55.69047958588639, 37.65542731892241 55.69579529805158, 37.65801809341456 55.70850836762482, 37.64130558836811 55.715904538678735, 37.62200871859449 55.7105856029167, 37.619429684477545 55.697873720533565));1.36437;5.787263311585249;даниловский;45296559000;6.69;41.7;48.47;46;230;19;87;74;245;139;562;6;35;5;32;1.3258857124182841;0.9658857124182842;53.770466666666664;139;3;9;82;336;46;224;0.805045774685068;78.7;89892;29082;0.3235215592043786;92;9747;31192;31448;25387;985;100101;320390;295256;240689;Южный административный округ;93400;99175;58801;39.62;917;578763;205429;41185;7;85;36;11.48;17.4;7414;93400;9.7;6.4;12.1;7.7;-3.3;22817;23881
388;244;Hexagon_7;8711aa78effffff;8611aa78fffffff;37.6606105216444;55.721221222067605;POLYGON ((37.64130558836811 55.715904538678735, 37.65801809341456 55.70850836762482, 37.677324386632435 55.713822312224394, 37.67992351909266 55.72653565002874, 37.663204605185186 55.73393386005524, 37.64389296791722 55.728616692467604, 37.64130558836811 55.715904538678735));1.36437;4.445445279785146;даниловский;45296559000;6.69;41.7;48.47;78;261;19;98;66;326;163;685;8;41;12;54;1.6715410832622737;1.0611063006535784;56.02046666666667;163;2;13;113;423;92;350;0.9532498970465562;121.05;157155;48601;0.3092551939168337;277;30558;97811;96465;76298;1139;103949;332978;358105;277549;Южный административный округ;93400;99175;58801;39.62;917;578763;205429;41185;7;85;36;11.48;17.4;7414;93400;9.7;6.4;12.1;7.7;-3.3;22817;23881
1015;140;Hexagon_7;8711aa681ffffff;8611aa687ffffff;37.87688533923717;55.708530032460786;POLYGON ((37.8575240658125 55.703243412480106, 37.874222371536014 55.69581015649071, 37.89358495392346 55.70109402748665, 37.89625465572803 55.71381437105543, 37.87955000736032 55.721249688568626, 37.86018200001959 55.71596260014753, 37.8575240658125 55.703243412480106));1.36437;16.883303452074284;косино-ухтомский;45263573000;9.85;34.1;54.08;43;218;16;50;11;50;70;318;6;33;8;23;1.2618128531474966;0.9252911140170619;28.607200000000002;70;2;4;71;182;35;114;0.6139454399543838;65.25;12778;29084;2.2760995460948505;166;18252;58410;50582;44513;383;53109;169961;157639;137233;Восточный административный округ;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;4.5;12.9;15.33;13.2;8.4;24009;30301
1016;143;Hexagon_7;8711aa685ffffff;8611aa687ffffff;37.840822039913064;55.710673231604915;POLYGON ((37.82147012644445 55.70538158599929, 37.8381708348642 55.69795451417129, 37.8575240658125 55.703243412480106, 37.86018200001959 55.71596260014753, 37.84347493786472 55.72339172974996, 37.82411629543383 55.71809961306957, 37.82147012644445 55.70538158599929));1.36437;14.657507234508941;косино-ухтомский;45263573000;9.85;34.1;54.08;44;191;16;65;18;67;78;323;6;25;13;37;1.3464771753981362;1.0021293493111796;34.557199999999995;78;1;4;71;281;63;204;0.5855492962208166;78.44999999999999;27328;54400;1.990632318501171;197;23222;74314;60704;52957;679;103633;331651;233115;200685;Восточный административный округ;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;4.5;12.9;15.33;13.2;8.4;24009;30301
1017;145;Hexagon_7;8711aa688ffffff;8611aa68fffffff;37.93501742023338;55.72437619184956;POLYGON ((37.91563201586806 55.719096425205095, 37.93233423596374 55.711654918472526, 37.95172093676281 55.716931932344515, 37.95441086939319 55.72965366792755, 37.93770231864742 55.737097242500774, 37.918310166095125 55.73181701280662, 37.91563201586806 55.719096425205095));1.36437;20.025476937962463;косино-ухтомский;45263573000;9.85;34.1;54.08;4;99;2;33;0;17;6;149;2;22;0;12;0.5346346775294234;0.5033303297033365;5.8872;6;0;2;2;77;0;50;0.00783132530120482;1.3;9189;39254;4.2718467733159216;0;0;0;0;0;119;31846;101907;86982;76252;Восточный административный округ;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;4.5;12.9;15.33;13.2;8.4;24009;30301
1018;164;Hexagon_7;8711aa6aaffffff;8611aa6afffffff;37.862841631695886;55.72868156757465;POLYGON ((37.84347493786472 55.72339172974996, 37.86018200001959 55.71596260014753, 37.87955000736032 55.721249688568626, 37.88221637752318 55.73396912348333, 37.86550296245653 55.74140031343108, 37.84612953032977 55.73611000727658, 37.84347493786472 55.72339172974996));1.36437;15.476846626088014;косино-ухтомский;45263573000;9.85;34.1;54.08;43;227;16;62;9;50;68;339;4;27;12;56;1.26093050020632;0.9244087610758854;29.287200000000006;68;0;2;51;248;27;205;0.28252088107029344;46.65;4320;12380;2.865740740740741;142;19781;63300;53786;52810;580;89792;287342;229811;210726;Восточный административный округ;81200;64895;1215;64.14;133;26;138365;25385;31;42;60;20.5;18.4;5421;81200;4.5;12.9;15.33;13.2;8.4;24009;30301
1815;238;Hexagon_7;8711aa788ffffff;8611aa78fffffff;37.68252431141179;55.739248770434614;POLYGON ((37.663204605185186 55.73393386005524, 37.67992351909266 55.72653565002874, 37.69924458137545 55.731847819506385, 37.701852087259226 55.74456142054823, 37.68512676516964 55.75196167211688, 37.66580034561224 55.74664628026307, 37.663204605185186 55.73393386005524));1.36437;4.228122332072933;таганский;45286580000;6.2;41.9;57.05;81;217;27;86;71;280;179;583;10;38;19;59;2.0082320365651483;1.3743189930868873;70.1645;179;2;9;132;448;103;296;1.0613898186963455;138.89999999999998;60881;22329;0.3667646720651763;328;35954;115074;109257;89235;1072;87991;281814;306798;225412;Центральный административный округ;120500;106915;73885;33.04;666;268013;221993;42105;12;96;93;14.49;20.8;15099;120500;9.6;10.4;10.94;8.9;0.8;25695;24871
1816;242;Hexagon_7;8711aa78cffffff;8611aa78fffffff;37.64648199980426;55.74132862941942;POLYGON ((37.62717172707704 55.73600872264398, 37.64389296791722 55.728616692467604, 37.663204605185186 55.73393386005524, 37.66580034561224 55.74664628026307, 37.64907268560192 55.754040348210054, 37.62975570457712 55.74871995734089, 37.62717172707704 55.73600872264398));1.36437;2.163589426054064;таганский;45286580000;6.2;41.9;57.05;62;243;35;125;92;336;189;704;16;66;19;79;2.1667912863520193;1.6815738950476715;88.0845;189;4;17;150;461;106;357;1.3696456289663477;153.7;289700;72456;0.25010700724887813;410;24002;77069;112209;76515;1552;106560;341451;417746;304316;Центральный административный округ;120500;106915;73885;33.04;666;268013;221993;42105;12;96;93;14.49;20.8;15099;120500;9.6;10.4;10.94;8.9;0.8;25695;24871
2546;232;Hexagon_7;8711aa781ffffff;8611aa787ffffff;37.62458939893891;55.72329727072804;POLYGON ((37.60529389757446 55.717975597891744, 37.62200871859449 55.7105856029167, 37.64130558836811 55.715904538678735, 37.64389296791722 55.728616692467604, 37.62717172707704 55.73600872264398, 37.60786952675514 55.73068656299371, 37.60529389757446 55.717975597891744));1.36437;3.4448919754187863;замоскворечье;45286560000;5.81;40.7;62.85;65;216;22;94;69;273;156;583;13;39;15;55;1.8605302514264839;1.3518345992525709;64.5985;156;4;14;114;413;68;288;1.1121173563667466;111.30000000000001;169036;32338;0.1913083603492747;405;27128;86941;95608;75137;1358;94966;304297;372327;268064;Центральный административный округ;58200;105825;144001;20.58;1353;808290;338563;50000;2;100;87;7.31;20.4;13573;58200;6.3;8.9;11.75;11.1;2.6;43028;47592
3094;146;Hexagon_7;8711aa68affffff;8611aa68fffffff;37.949032721225244;55.704209974411945;POLYGON ((37.929652764209166 55.69893342370218, 37.946346221148715 55.69148779546295, 37.96572747006944 55.69676159382586, 37.96842071409916 55.70948423509394, 37.95172093676281 55.716931932344515, 37.93233423596374 55.711654918472526, 37.929652764209166 55.69893342370218));1.36437;21.370899928796298;некрасовка;45290574000;4.07;36.1;36.63;35;106;15;36;3;18;53;160;17;28;8;22;1.136433476133312;0.862520432655051;29.049533333333333;53;1;1;40;80;20;55;0.3322619135613444;36.8;8591;38861;4.523454778256315;42;9557;30582;27074;23576;133;35526;113683;92692;81610;Юго-Восточный административный округ;55100;67623;1756;29.66;75;28;109375;23201;30;0;28;21.14;34.4;11340;55100;5.3;15.0;5.92;80.9;9.7;17797;16688
