;id;address;common_hold_square;entrance;floors;floors_min;land_plot_area;lat;living_rooms;living_square;lon;not_living_rooms;not_living_square;other;parking_area;rooms;sportground;square;type
11;8250131.0;пгт. Акулово, д. 24;15.2;4.0;9.0;9;0.0;56.006114;7069.8;7069.8;37.795924;0;717.6;;0.00;143.0;Имеется;7069.8;Многоквартирный дом
14;8659281.0;п. Армейский, д. 33;415.9;2.0;2.0;1;0.0;55.38529;285.8;285.8;37.200745;0;0.0;нет;0.00;8.0;Не имеется;285.8;Многоквартирный дом
15;8659291.0;п. Армейский, д. 34;402.88;2.0;2.0;1;0.0;55.38529;281.6;281.6;37.200745;0;0.0;нет;0.00;8.0;Не имеется;281.6;Многоквартирный дом
17;7639337.0;п. Армейский, д. 36;366.74;2.0;2.0;1;0.0;55.38529;225.1;225.1;37.200745;0;0.0;нет;0.00;8.0;Не имеется;225.1;Многоквартирный дом
19;8661752.0;д. Бабенки, д. 2;144.5;1.0;1.0;1;0.0;55.355602;42.4;42.4;37.184638;0;0.0;нет;0.00;4.0;Не имеется;42.4;Многоквартирный дом
26;8661846.0;с. Былово, д. 5;2977.1;4;5;1;0.0;55.447249;1655.8;1655.8;37.24266;0;0.0;нет;0.00;60;Не имеется;1655.8;Многоквартирный дом
32;7922927.0;п. Ватутинки, д. 1а;223.0;2;2;2;744.0;55.505032;409.7;409.7;37.334271;0;223.0;;0.00;16;Не имеется;409.7;Многоквартирный дом
46;7923284.0;п. Ватутинки, д. 18;54.8;4;1;1;280.0;55.503976;134.2;134.2;37.329734;0;54.8;;0.00;4;Не имеется;134.2;Многоквартирный дом
52;7923912.0;п. Ватутинки, д. 24;1003.9;5;5;5;4297.8;55.506031;2124.5;2124.5;37.334468;0;1003.9;;0.00;75;Не имеется;2124.5;Многоквартирный дом
55;7925874.0;п. Ватутинки, д. 27;2031.6;4;5;5;4741.1;55.501626;2245.4;2245.4;37.331279;0;2031.6;;0.00;80;Имеется;2245.4;Многоквартирный дом
56;7925882.0;п. Ватутинки, д. 28;1809.5;5;5;5;4338.0;55.501447;2127.9;2127.9;37.326671;0;1809.5;;0.00;75;Не имеется;2127.9;Многоквартирный дом
57;7925890.0;п. Ватутинки, д. 29;1965.9;4;5;5;4741.2;55.501626;2234.0;2234.0;37.331279;0;1965.9;;0.00;80;Не имеется;2234.0;Многоквартирный дом
59;7925903.0;п. Ватутинки, д. 31;1736.4;5;5;5;4411.2;55.501626;2138.7;2138.7;37.331279;0;1736.4;;0.00;75;Не имеется;2138.7;Многоквартирный дом
65;7925940.0;п. Ватутинки, д. 37;1532.4;1;9;9;8093.2;55.505725;2004.5;2004.5;37.333157;0;1532.4;;0.00;63;Не имеется;2004.5;Многоквартирный дом
66;7925949.0;п. Ватутинки, д. 38;2208.2;5;5;5;8065.8;55.506117;2019.1;2019.1;37.33286;0;2208.2;;0.00;75;Имеется;2019.1;Многоквартирный дом
70;8593611.0;п. Ватутинки, д. 41;87.15;1;16;16;7140.0;55.50185;3304.0;3304.0;37.325916;0;87.15;;0.00;111;Не имеется;3304.0;Многоквартирный дом
73;7925972.0;п. Ватутинки, д. 44;4552.2;4;12;9;14908.8;55.503405;4910.1;4910.1;37.334899;0;4552.2;;6 483.00;147;Имеется;4910.1;Многоквартирный дом
77;7925992.0;п. Ватутинки, д. 49;3916.5;2;17;17;4051.5;55.508998;5152.3;5152.3;37.331252;0;3916.5;;0.00;136;Имеется;5152.3;Многоквартирный дом
80;7926011.0;п. Ватутинки, д. 52;6354.0;3;17;17;4848.0;55.508442;7285.7;7285.7;37.329635;0;6354.0;;0.00;204;Имеется;7285.7;Многоквартирный дом
85;8231716.0;п. Ватутинки-1, д. 4, к. в/г 1/4А, инв. 288;1350.0;1;5;5;7500.0;55.918525;1492.68;1492.68;37.754808;0;0.0;-;0.00;75;Не имеется;1492.68;Многоквартирный дом
86;8991935.0;п. Ватутинки-1, д. 41;;1;16;;;55.501972;3304.0;3304.0;37.325395;;87.15;;;;;3304.0;Многоквартирный дом
